,year,company,times
0,1989,Zebra Technologies,1
1,1991,Hewlett-Packard,1
2,1992,Hewlett-Packard,1
3,1993,Zebra Technologies,1
4,1994,Hewlett-Packard,2
5,1995,Apple Inc,1
6,1996,Hewlett-Packard,2
7,1997,LG Electronics,1
8,1998,Sharp Corporation,1
9,1999,Compaq,1
10,2000,NEC Corporationæ,1
11,2001,AboCom Systems,1
12,2002,SiemensæAG,2
13,2003,Zebra Technologies,1
14,2004,Data Evolution Corp,1
15,2005,Data Evolution Corp,1
16,2006,Roper Technologies,2
17,2007,Zebra Technologies,1
18,2008,Roper Technologies,1
19,2009,MiTAC International Corp,4
20,2010,Inventec Corporation,1
21,2011,Motorola,6
22,2012,Toshiba Corporation,2
