,year,company,times
0,1989,Zebra Technologies,1
1,1991,Zebra Technologies,1
2,1992,Hewlett-Packard,1
3,1993,Hewlett-Packard,2
4,1994,Hewlett-Packard,2
5,1995,Hewlett-Packard,1
6,1996,Nokia Corporation,1
7,1997,Nokia Corporation,1
8,1998,Casio,1
9,1999,Nokia Corporation,1
10,2000,Sharp Corporation,2
11,2001,HTC,1
12,2002,HTC,1
13,2003,Motorola,1
14,2004,Fujitsu Ltd,2
15,2005,Motorola,1
16,2006,Mobile Compia,1
17,2007,Apple Inc,1
18,2008,TechFaith Wirelessæ,1
19,2009,BlackBerry Limited,1
20,2010,Sharp Corporation,1
21,2011,Verizon Communications,1
22,2012,Asus,1
